Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
8-NS1 9 8 9 85316 231 0.65 100000 0.14684
8-NS1 9 8 6 14 231 0.7 100000 0.13494
8-NS1 9 8 7 612 231 0.7 100000 0.13494
8-NS1 9 8 8 12868 231 0.7 100000 0.13494
8-NS1 9 8 9 86506 231 0.7 100000 0.13494
8-NS1 9 8 6 3 231 0.75 100000 0.12691
8-NS1 9 8 7 495 231 0.75 100000 0.12691
8-NS1 9 8 8 12193 231 0.75 100000 0.12691
8-NS1 9 8 9 87309 231 0.75 100000 0.12691
8-NS1 9 8 6 9 231 0.8 100000 0.11967
8-NS1 9 8 7 432 231 0.8 100000 0.11967
8-NS1 9 8 8 11526 231 0.8 100000 0.11967
8-NS1 9 8 9 88033 231 0.8 100000 0.11967
8-NS1 9 8 6 8 231 0.85 100000 0.1134
8-NS1 9 8 7 407 231 0.85 100000 0.1134
8-NS1 9 8 8 10925 231 0.85 100000 0.1134
8-NS1 9 8 9 88660 231 0.85 100000 0.1134
8-NS1 9 8 6 6 231 0.9 100000 0.10725
8-NS1 9 8 7 367 231 0.9 100000 0.10725
8-NS1 9 8 8 10352 231 0.9 100000 0.10725
8-NS1 9 8 9 89275 231 0.9 100000 0.10725
8-NS1 9 8 6 3 231 0.95 100000 0.10234
8-NS1 9 8 7 322 231 0.95 100000 0.10234
8-NS1 9 8 8 9909 231 0.95 100000 0.10234
8-NS1 9 8 9 89766 231 0.95 100000 0.10234
8-NS1 9 8 6 5 231 1 100000 0.09543
8-NS1 9 8 7 309 231 1 100000 0.09543
8-NS1 9 8 8 9229 231 1 100000 0.09543
8-NS1 9 8 9 90457 231 1 100000 0.09543
